Twitter_Handle,Tweet_Text,Tweet_URL,Tweet_Date
@RapidInsightInc,#DataDoggo Mika is a natural! Here she is modeling Rapid Insight #TC17 swag! Stop by Booth 321 for yours! #tableauâ€_ https://t.co/HrzWmRCFil,http://twitter.com/RapidInsightInc/status/918433045987975169,"October 12, 2017 at 07:07AM"
@YvesMulkers,"RT @BitKitteh: Itâ€™s 11pm, youâ€™re on your way to bed &amp; you meet some awesome Tableau folks at #data17 #TC17...and suddenly, itâ€™s 2am https://t.co/TnqdN8xjPI",http://twitter.com/YvesMulkers/status/918433061653700608,"October 12, 2017 at 07:08AM"
@sf_cunningham,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/sf_cunningham/status/918433360480997376,"October 12, 2017 at 07:09AM"
@itsthanga,RT @RichardFayers: Calling any UK data rock stars at #TC17. Check out @Slalom at booth 358 - and ask for @sirajma - #dataviz! #data17,http://twitter.com/itsthanga/status/918433474356297729,"October 12, 2017 at 07:09AM"
@Justin_OSull,"RT @infacloud: Fear Not! Get Out of Data Mess with a Good #DataCatalog https://t.co/tnvWBmfTb3#Data17",http://twitter.com/Justin_OSull/status/918433993808384000,"October 12, 2017 at 07:11AM"
@ES_Informatica,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/ES_Informatica/status/918434375741726720,"October 12, 2017 at 07:13AM"
@itsthanga,RT @MarcDeChellis: The 15 Most Common Types of Data Visualisations - https://t.co/AVjYQGtyAU #data #dataviz #data17 #design https://t.co/JU90b0d8Xv,http://twitter.com/itsthanga/status/918434780416434176,"October 12, 2017 at 07:14AM"
@omaureen,"RT @Informatica: NEWS: Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/OwFJF4Rk7q    #Data17 https://t.co/03lvOtv2WN",http://twitter.com/omaureen/status/918434878324166657,"October 12, 2017 at 07:15AM"
@itsthanga,RT @Gr8Santini: My @Slalom peers are at #TC17. Visit them at booth 358 to talk #dataviz! #data17 https://t.co/UNr0DfZBSQâ€_ https://t.co/xoHFgpODEc,http://twitter.com/itsthanga/status/918435182520147969,"October 12, 2017 at 07:16AM"
@itsthanga,RT @OttoOttinger: Find Out Whatâ€™s On at @tableau Conference 2017 https://t.co/4GoxSJTmqS #tableau #dataviz #data17 https://t.co/pFjyt0IEOR,http://twitter.com/itsthanga/status/918435619218452480,"October 12, 2017 at 07:18AM"
@LizKiehne,"RT @infacloud: Great Data Requires Great #DataIntegration â†’ https://t.co/zTSnKdBh0J #Data17 https://t.co/VQQUKD5UmW",http://twitter.com/LizKiehne/status/918435806007758849,"October 12, 2017 at 07:18AM"
@YvesMulkers,"RT @kamalesh161730p: A Leader for #Metadata Management â†’ https://t.co/WtPhrUu9Oy #Data17 https://t.co/3B4Y2556Dk",http://twitter.com/YvesMulkers/status/918435845312516097,"October 12, 2017 at 07:19AM"
