tweet,label
"RT @charlieswp: Now @MuseumoftheHome should know that #GeffryeMustFall and that if they don't take it down, others will. #BlackLivesMatter…",0
RT @MusicHennessey: Tonight @8pm we interview @Harrietviolin and @ErrollynWallen You can tune in from 8pm https://t.co/F8F2NWIJnL Preorder…,0
"RT @hungrybowtie: Some officers advance close to the crowd, attempting to take down the shield wall. #blacklivesmatter   #protest #pdx #Por…",0
He’s not in the WWE HOF because of his skin color: Former WWE wrestler James 'Kamala' Harris dies at 70… https://t.co/ZHUGwLNGyl,0
@shaunking ...going through it now fighting for my life my rights and reached out but have not gotten a reply...ple… https://t.co/uMBDKaIndH,0
Truth Hurts! ⁦@KingJames⁩ ⁦@Tip⁩ ⁦@Ludacris⁩ ⁦@SnoopDogg⁩ #BLM  https://t.co/KhUgMqlOSC,0
Anti-violence activists speak after 9-year-old killed on Near North Side https://t.co/QTsisIcwgR @realDonaldTrump @POTUS #BlackLivesMatter,0
Omg they are looting in Chicago again! This is sad! This has nothing to do with #BlackLivesMatter people!,0
"In the USA approximately 2% of commercial pilots are Black. #Aviation
#BlackLivesMatter",0
"RT @kthblossom_: please remember to keep checking, sharing and signing petions and donating if possible!! there's still so many people we n…",0
"Internally I'm still in #SpringBreak 03/15/2020. By that date &amp; so far we were:
-social distancing
-with stay-at-ho… https://t.co/oDY9PwXXy6",0
RT @GardenStateTait: #AntiFascist #BLM part 3! https://t.co/cufokNh29l,0
Breonna Taylor’s murderers are still free. Similar instances continue to happen everyday. #BlackLivesMatter #NoJusticeNoPeace,0
Thank you @BBCTwo for playing @AusDreamFilm. It’s necessary viewing for all of us and Adam Goodes is an inspiration… https://t.co/F8oeAafKXp,0
#US Attorney general William Barr said: 'I don’t agree there is systemic #racism in #police departments generally i… https://t.co/i0gzav8eLD,0
"RT @chewgnasher: America is now officially a fascist State

Britain is next unless people act together.

#BLM #CorbynWasRight #CorbynForever",0
So I finished this today. I started the first episode in January some time and was so upset by the first ep I never… https://t.co/tGXr8YPWob,0
"RT @paddydocherty: The struggle continues. Heather Heyer put her life on the line to #StopFascism in Charlottesville, Virginia, on Aug 12th…",0
"One of the things we can do as Americans is educate ourselves on a daily basis. Especially, &amp; more importantly in t… https://t.co/8NOKEODrNt",0
"A little bit of good news here in #CT 
State Senate Passes Police Accountability Bill. 
#CTPolitics #BLM  https://t.co/5KmcdzIcvp",0
