tweet,label,hate_words,emojis
Okay I get concerned when I see people getting retweets but not help. We say #BlackLivesMatter Well here is a B… https://t.co/BF7skCp6bB,0,[],[]
RT @ENIGGADESERVES: Give someone their flowers  my nigga.,1,['nigga.'],[]
RT @ENIGGADESERVES: Take care of yourself  my nigga.,1,['nigga.'],[]
A street nigga making kissy faces &gt; 🥰😂,1,['nigga'],['😂']
RT @YourBudTevin: If Chris Brown taught me anything this nigga ain’t making it out the parking lot,1,['nigga'],[]
RT @kimyontaelice: Lemme drop bands put a jewel in your teethHe love the way I drip turn that pool to the beachAnd I coulda copped the Bi…,0,[],[]
RT @Arionthewigs: new nigga: Wydme: just did a load of laundry  about to start dinner and then clean my whole entire house wbu,1,['nigga:'],[]
RT @notrgulr: wish i could be my own nigga i’d know exactly what to do,1,['nigga'],[]
RT @ariyacharnai: Yo friend having yo nigga in her cf is crazy lmao,1,['nigga'],[]
I will smack the fire out of anybody behind my nigga and y’all know it and I proved it … tread lightly 🫶🏼,1,['nigga'],['🏼']
RT @YourBudTevin: If Chris Brown taught me anything this nigga ain’t making it out the parking lot,1,['nigga'],[]
RT @jaydamoenee: Never let a nigga shit on you &amp; double back,1,"['nigga', 'shit']",[]
@hisexcellence79 @Ella_928 Really  i can understand that pick. Nah  I gotta go with What These Bitches Want From A… https://t.co/2aG9IldLIr,0,[],[]
RT @Saviii3rd: i rather be the nigga they talk about then the weirdo that’s talking ! 🫠,1,['nigga'],[]
RT @theorginialtg_: when it comes to leaving a nigga IMA DO IT 😂😅,1,['nigga'],['😂😅']
RT @SaucySantana: Idgaf! It’s sumn bout a Nigga walking in my house putting his gun on the dresser 😍,1,['Nigga'],['😍']
@Trumpster20 And all that scary stuff 💩🤡🍆. No one really gives a fuck what your imagining.,1,['fuck'],"['💩', '🍆']"
RT @YourBudTevin: If Chris Brown taught me anything this nigga ain’t making it out the parking lot,1,['nigga'],[]
RT @YourBudTevin: If Chris Brown taught me anything this nigga ain’t making it out the parking lot,1,['nigga'],[]
RT @__vaeh: wax appointment @ 11:30… me otw to that nigga house @ 11:30:14,1,['nigga'],[]
RT @EugeneTattedUp: I said “what’s my name?!” And she said “I’m not finna say Eugene nigga”,1,['nigga”'],[]
I’m in it bad! BOY 😭 I be runnin the bac of this nigga head n sumo https://t.co/PZusFLn0o2,1,['nigga'],['😭']
RT @1futhermucker: Stingy Nigga worse than a broke one I stg,1,['Nigga'],[]
